idTitre:ID,artiste,nomChanson,:LABEL
t211,Eddy Mitchell,Tu peux préparer le café noir,Titre
t212,Eddy Mitchell,Et la voix d’Elvis,Titre
t213,Eddy Mitchell,Happy Birthday Rock’n Roll,Titre
t214,Eddy Mitchell,Couleur menthe à l’eau,Titre
t215,Edith Piaf,L'homme à la moto,Titre
t216,Edith Piaf,Hymne à l'amour,Titre
t217,Edith Piaf,La foule,Titre
t218,Edith Piaf,La vie en rose,Titre
t219,Edith Piaf,Non je ne regrette rien,Titre
t220,Edith Piaf,Mon manège à moi,Titre
t221,Elisa Tovati & Tom Dice,Il nous faut,Titre
t222,Elli Mederios,Toi mon toit,Titre
t223,Elsa & Glenn Medeiros,Un roman d’amitié,Titre
t224,Elsa,T’en va pas,Titre
t225,Emile et Image,Les démons de minuit,Titre
t226,Emma Daumas,Tu seras,Titre
t227,Emmanuelle,Premier baiser,Titre
t228,Emmanuel Moire,Etre à la hauteur,Titre
t229,Emmanuel Moire,Beau Malheur,Titre
t230,Emmanuel Moire,Je fais de toi mon essentiel,Titre
t231,Eric Morena,Oh mon bateau,Titre
t232,Etienne Daho & Dani,Comme un boomerang,Titre
t233,Etienne Daho,Week-end à Rome,Titre
t234,Etienne Daho,Tombé pour la France,Titre
t235,Fatal Bazooka,Parle à ma main,Titre
t236,Fatal Bazooka,Fous ta cagoule,Titre
t237,Faudel,Mon pays,Titre
t238,Felix Gray,La gitane,Titre
t239,Felix Gray & Didier Barbelivien,A toutes les filles,Titre
t240,Fernandel,Félicie aussi,Titre
t241,Florent Pagny,N’importe quoi,Titre
t242,Florent Pagny,Bienvenue chez moi,Titre
t243,Florent Pagny,Chanter,Titre
t244,Florent Pagny,Et un jour une femme,Titre
t245,Florent Pagny,Ma liberté de penser,Titre
t246,Florent Pagny,Là où je t’emmènerais,Titre
t247,Florent Pagny,L’air du temps,Titre
t248,Florent Pagny,Savoir aimer,Titre
t249,Forbans,Chante,Titre
t250,France Gall,Musique,Titre
t251,France Gall,Il jouait du piano debout,Titre
t252,France Gall,Tout pour la musique,Titre
t253,France Gall,Résiste,Titre
t254,France Gall,Poupée de cire poupée de son,Titre
t255,France Gall,Evidemment,Titre
t256,France Gall,Viens je t’emmène,Titre
t257,France Gall,Si maman si,Titre
t258,France Gall,Débranche,Titre
t259,France Gall,Sacré Charlemagne,Titre
t260,France Gall,Amor Tambien (Tout l’monde chante),Titre
t261,France Gall,Comment lui dire,Titre
t262,Francis Cabrel,La dame de Haute-Savoie,Titre
t263,Francis Cabrel,Sarbacane,Titre
t264,Francis Cabrel,Animal ,Titre
t265,Francis Cabrel,C’est écrit,Titre
t266,Francis Cabrel,Encore et encore,Titre
t267,Francis Cabrel,Petite Marie ,Titre
t268,Francis Cabrel,La Corrida,Titre
t269,Francis Cabrel,A l’encre de tes yeux,Titre
t270,Francis Cabrel,Je l'aime à mourir,Titre
t271,Francis Cabrel,Les murs de poussière,Titre
t272,Francis Cabrel,Gardien de nuit,Titre
t273,Francis Lalanne,On se retrouvera,Titre
t274,Francis Lalanne,La maison du bonheur,Titre
t275,François Feldman & Janice Janisson,Joue pas,Titre
t276,François Feldman,Les Valses de Viennes,Titre
t277,François Valery,Elle danse Marie,Titre
t278,François Valery,Aimons-nous vivants,Titre
t279,Françoise Hardy,Comment te dire adieu,Titre
t280,Frédéric François,Mon cœur te dit je t’aime,Titre
t281,Frédéric François,Je t’aime à l’italienne,Titre
t282,Gaétan Roussel,Dis-moi encore que tu m’aimes,Titre
t283,Garou et Céline Dion,Sous le vent,Titre
t284,Garou,Seul,Titre
t285,Garou & Michel Sardou,La rivière de notre enfance,Titre
t286,Georges Brassens,Les copains d’abord,Titre
t287,Georges Moustaki,Ma liberté,Titre
t288,Gérald de Palmas,Sur la route,Titre
t289,Gérald de Palmas,Une seule vie,Titre
t290,Gérald de Palmas,J’en rêve encore,Titre
t291,Gérald de Palmas,Dans une larme,Titre
t292,Gérald de Palmas,Tomber,Titre
t293,Gérald de Palmas,Elle s’ennuie,Titre
t294,Gérald de Palmas,L’étranger,Titre
t295,Gérald de Palmas,Au bord de l’eau,Titre
t296,Gérald de Palmas,Elle habite ici,Titre
t297,Gérard Blanc,Une autre histoire,Titre
t298,Gérard Blanc,Si j’étais président,Titre
t299,Gérard Lenormand,La ballade des gens heureux,Titre
t300,Gérard Lenormand,Michèle,Titre
t301,Gilbert Bécaud,Et maintenant,Titre
t302,Gilbert Bécaud,L’orange,Titre
t303,Gilbert Bécaud,L’important c’est la rose,Titre
t304,Gilbert Montagné,J’ai le blues de toi,Titre
t305,Gilbert Montagné,Les sunlights des tropiques,Titre
t306,Gilbert Montagné,On va s’aimer,Titre
t307,Grégoire,Rue des étoiles,Titre
t308,Grégoire,Toi + Moi,Titre
t309,Grégoire,Ta main,Titre
t310,Grégoire,Danse,Titre
t311,Grégory Lemarchal,Ecris l’histoire,Titre
t312,Gold,Plus près des étoiles,Titre
t313,Gold,Laissez-nous chanter,Titre
t314,Gold,Capitaine Abandonné,Titre
t315,Guesh Patti,Etienne,Titre
t316,Guillaume Grand,Toi et moi,Titre
t317,Guy Marchand,Destinée,Titre
t318,Hélène,Je m’appelle Hélène,Titre
t319,Hélène Ségara,Elle tu l’aimes,Titre
t320,Helmut Fritz,Ca m’énerve ,Titre
t321,Henri Salvador,Zorro est arrivé,Titre
t322,Herbert Léonard & Julie Pietri,Amoureux fous,Titre
t323,Herbert Léonard,Pour le plaisir,Titre
t324,Hervé Christiani,Il est libre Max,Titre
t325,Hervé Villard,Capri c'est fini,Titre
t326,Hervé Villard,Méditerranéenne ,Titre
t327,Hervé Villard,Nous,Titre
t328,Hugues Auffray –Santiano,Titre
t329,IAM,Je danse le Mia,Titre
t330,Il était une fois,J’ai encore rêvé d’elle,Titre
t331,Indochine,L’aventurier,Titre
t332,Indochine,3 nuits par semaine,Titre
t333,Indochine,Tes yeux noirs,Titre
t334,Indochine,J’ai demandé à la lune,Titre
t335,Inna Modja,French Cancan,Titre
t336,Isabelle Adjani,Pull marine,Titre
t337,Isabelle Boulay,Parle-moi,Titre
t338,Jacques Brel,Amsterdam,Titre
t339,Jacques Brel,Vesoul,Titre
t340,Jacques Brel,Ne me quitte pas,Titre
t341,Jacques Brel,Mathilde,Titre
t342,Jacques Brel,Madeleine,Titre
t343,Jacques Brel,Quand on a que l’amour,Titre
t344,Jacques Brel,La valse a mille temps,Titre
t345,Jacques Dutronc ,Gentleman cambrioleur,Titre
t346,Jacques Igelin,Tombé du ciel,Titre
t347,Jacques Igelin,Champagne,Titre
t348,Jean-Jacques Goldman,Bonne idée,Titre
t349,Jean-Jacques Goldman,Un deux trois,Titre
t350,Jean-Jacques Goldman,Puisque tu pars,Titre
t351,Jean-Jacques Goldman,Elle attend,Titre
t352,Jean-Jacques Goldman,Quand la musique est bonne,Titre
t353,Jean-Jacques Goldman,Envole-moi,Titre
t354,Jean-Jacques Goldman / Mickael Jones,Je te donne,Titre
t355,Jean-Jacques Goldman,A nos actes manqués,Titre
t356,Jean-Jacques Goldman et Sirima,Là-bas,Titre
t357,Jean-Jacques Goldman,La vie par procuration   ,Titre
t358,Jean-Jacques Goldman,On ira,Titre
t359,Jean-Jacques Goldman,Je marche seul,Titre
t360,Jean-Jacques Goldman,Il suffira d’un signe,Titre
t361,Jean-Jacques Goldman,J'irai au bout de mes rêves,Titre
t362,Jean-Jacques Goldman,Encore un matin,Titre
t363,Jean-Jacques Goldman,Elle a fait un bébé toute seule,Titre
t364,Jean-Jacques Goldman,Comme toi,Titre
t365,Jean-Jacques Lafon,Le géant de papier,Titre
t366,Jean Leloup,1990,Titre
t367,Jean-Louis Aubert,Juste une illusion,Titre
t368,Jean-Louis Aubert,Les plages,Titre
t369,Jean-Louis Aubert,Voila c’est fini,Titre
t370,Jean-Luc Lahaye,Papa Chanteur,Titre
t371,Jeane Manson,Avant de nous dire adieu,Titre
